date,category,line,model,item,quantity
2018-05-19,Electronics,TVs,55-inch,SKU001,55
2018-05-20,Electronics,TVs,55-inch,SKU001,51
2018-05-21,Electronics,TVs,55-inch,SKU001,53
2018-05-22,Electronics,TVs,55-inch,SKU001,55
2018-05-23,Electronics,TVs,55-inch,SKU001,50
2018-05-24,Electronics,TVs,55-inch,SKU001,53
2018-05-25,Electronics,TVs,55-inch,SKU001,53
2018-05-26,Electronics,TVs,55-inch,SKU001,54
2018-05-27,Electronics,TVs,55-inch,SKU001,50
2018-05-28,Electronics,TVs,55-inch,SKU001,50
2018-05-29,Electronics,TVs,55-inch,SKU001,53
2018-05-30,Electronics,TVs,55-inch,SKU001,53
2018-05-31,Electronics,TVs,55-inch,SKU001,53
2018-06-01,Electronics,TVs,55-inch,SKU001,53
2018-06-02,Electronics,TVs,55-inch,SKU001,51
2018-06-03,Electronics,TVs,55-inch,SKU001,52
2018-06-04,Electronics,TVs,55-inch,SKU001,53
2018-06-05,Electronics,TVs,55-inch,SKU001,50
2018-06-06,Electronics,TVs,55-inch,SKU001,56
2018-06-07,Electronics,TVs,55-inch,SKU001,53
2018-06-08,Electronics,TVs,55-inch,SKU001,49
2018-06-09,Electronics,TVs,55-inch,SKU001,53
2018-06-10,Electronics,TVs,55-inch,SKU001,50
2018-06-11,Electronics,TVs,55-inch,SKU001,53
2018-06-12,Electronics,TVs,55-inch,SKU001,54
2018-06-13,Electronics,TVs,55-inch,SKU001,50
2018-06-14,Electronics,TVs,55-inch,SKU001,53
2018-06-15,Electronics,TVs,55-inch,SKU001,52
2018-06-16,Electronics,TVs,55-inch,SKU001,53
2018-06-17,Electronics,TVs,55-inch,SKU001,55
2018-06-18,Electronics,TVs,55-inch,SKU001,50
2018-06-19,Electronics,TVs,55-inch,SKU001,49
2018-06-20,Electronics,TVs,55-inch,SKU001,49
2018-06-21,Electronics,TVs,55-inch,SKU001,49
2018-06-22,Electronics,TVs,55-inch,SKU001,50
2018-06-23,Electronics,TVs,55-inch,SKU001,51
2018-06-24,Electronics,TVs,55-inch,SKU001,51
2018-06-25,Electronics,TVs,55-inch,SKU001,52
2018-06-26,Electronics,TVs,55-inch,SKU001,50
2018-06-27,Electronics,TVs,55-inch,SKU001,53
2018-06-28,Electronics,TVs,55-inch,SKU001,49
2018-06-29,Electronics,TVs,55-inch,SKU001,55
2018-06-30,Electronics,TVs,55-inch,SKU001,51
2018-07-01,Electronics,TVs,55-inch,SKU001,48
2018-07-02,Electronics,TVs,55-inch,SKU001,47
2018-07-03,Electronics,TVs,55-inch,SKU001,51
2018-07-04,Electronics,TVs,55-inch,SKU001,49
2018-07-05,Electronics,TVs,55-inch,SKU001,51
2018-07-06,Electronics,TVs,55-inch,SKU001,50
2018-07-07,Electronics,TVs,55-inch,SKU001,49
2018-07-08,Electronics,TVs,55-inch,SKU001,47
2018-07-09,Electronics,TVs,55-inch,SKU001,46
2018-07-10,Electronics,TVs,55-inch,SKU001,48
2018-07-11,Electronics,TVs,55-inch,SKU001,51
2018-07-12,Electronics,TVs,55-inch,SKU001,49
2018-07-13,Electronics,TVs,55-inch,SKU001,46
2018-07-14,Electronics,TVs,55-inch,SKU001,49
2018-07-15,Electronics,TVs,55-inch,SKU001,49
2018-07-16,Electronics,TVs,55-inch,SKU001,47
2018-07-17,Electronics,TVs,55-inch,SKU001,49
2018-07-18,Electronics,TVs,55-inch,SKU001,48
2018-07-19,Electronics,TVs,55-inch,SKU001,46
2018-07-20,Electronics,TVs,55-inch,SKU001,49
2018-07-21,Electronics,TVs,55-inch,SKU001,49
2018-07-22,Electronics,TVs,55-inch,SKU001,50
2018-07-23,Electronics,TVs,55-inch,SKU001,50
2018-07-24,Electronics,TVs,55-inch,SKU001,45
2018-07-25,Electronics,TVs,55-inch,SKU001,46
2018-07-26,Electronics,TVs,55-inch,SKU001,49
2018-07-27,Electronics,TVs,55-inch,SKU001,49
2018-07-28,Electronics,TVs,55-inch,SKU001,49
2018-07-29,Electronics,TVs,55-inch,SKU001,55
2018-07-30,Electronics,TVs,55-inch,SKU001,48
2018-07-31,Electronics,TVs,55-inch,SKU001,50
2018-08-01,Electronics,TVs,55-inch,SKU001,49
2018-08-02,Electronics,TVs,55-inch,SKU001,48
2018-08-03,Electronics,TVs,55-inch,SKU001,46
2018-08-04,Electronics,TVs,55-inch,SKU001,49
2018-08-05,Electronics,TVs,55-inch,SKU001,45
2018-08-06,Electronics,TVs,55-inch,SKU001,46
2018-08-07,Electronics,TVs,55-inch,SKU001,46
2018-08-08,Electronics,TVs,55-inch,SKU001,47
2018-08-09,Electronics,TVs,55-inch,SKU001,51
2018-08-10,Electronics,TVs,55-inch,SKU001,43
2018-08-11,Electronics,TVs,55-inch,SKU001,48
2018-08-12,Electronics,TVs,55-inch,SKU001,43
2018-08-13,Electronics,TVs,55-inch,SKU001,45
2018-08-14,Electronics,TVs,55-inch,SKU001,48
2018-08-15,Electronics,TVs,55-inch,SKU001,46
2018-08-16,Electronics,TVs,55-inch,SKU001,44
2018-08-17,Electronics,TVs,55-inch,SKU001,45
2018-08-18,Electronics,TVs,55-inch,SKU001,47
2018-08-19,Electronics,TVs,55-inch,SKU001,45
2018-08-20,Electronics,TVs,55-inch,SKU001,46
2018-08-21,Electronics,TVs,55-inch,SKU001,46
2018-08-22,Electronics,TVs,55-inch,SKU001,45
2018-08-23,Electronics,TVs,55-inch,SKU001,50
2018-08-24,Electronics,TVs,55-inch,SKU001,47
2018-08-25,Electronics,TVs,55-inch,SKU001,42
2018-08-26,Electronics,TVs,55-inch,SKU001,46
2018-08-27,Electronics,TVs,55-inch,SKU001,44
2018-08-28,Electronics,TVs,55-inch,SKU001,47
2018-08-29,Electronics,TVs,55-inch,SKU001,44
2018-08-30,Electronics,TVs,55-inch,SKU001,45
2018-08-31,Electronics,TVs,55-inch,SKU001,46
2018-09-01,Electronics,TVs,55-inch,SKU001,47
2018-09-02,Electronics,TVs,55-inch,SKU001,43
2018-09-03,Electronics,TVs,55-inch,SKU001,45
2018-09-04,Electronics,TVs,55-inch,SKU001,44
2018-09-05,Electronics,TVs,55-inch,SKU001,44
2018-09-06,Electronics,TVs,55-inch,SKU001,49
2018-09-07,Electronics,TVs,55-inch,SKU001,46
2018-09-08,Electronics,TVs,55-inch,SKU001,43
2018-09-09,Electronics,TVs,55-inch,SKU001,47
2018-09-10,Electronics,TVs,55-inch,SKU001,49
2018-09-11,Electronics,TVs,55-inch,SKU001,47
2018-09-12,Electronics,TVs,55-inch,SKU001,42
2018-09-13,Electronics,TVs,55-inch,SKU001,44
2018-09-14,Electronics,TVs,55-inch,SKU001,47
2018-09-15,Electronics,TVs,55-inch,SKU001,44
2018-09-16,Electronics,TVs,55-inch,SKU001,46
2018-09-17,Electronics,TVs,55-inch,SKU001,46
2018-09-18,Electronics,TVs,55-inch,SKU001,43
2018-09-19,Electronics,TVs,55-inch,SKU001,45
2018-09-20,Electronics,TVs,55-inch,SKU001,38
2018-09-21,Electronics,TVs,55-inch,SKU001,43
2018-09-22,Electronics,TVs,55-inch,SKU001,44
2018-09-23,Electronics,TVs,55-inch,SKU001,42
2018-09-24,Electronics,TVs,55-inch,SKU001,48
2018-09-25,Electronics,TVs,55-inch,SKU001,42
2018-09-26,Electronics,TVs,55-inch,SKU001,44
2018-09-27,Electronics,TVs,55-inch,SKU001,45
2018-09-28,Electronics,TVs,55-inch,SKU001,48
2018-09-29,Electronics,TVs,55-inch,SKU001,42
2018-09-30,Electronics,TVs,55-inch,SKU001,47
2018-10-01,Electronics,TVs,55-inch,SKU001,45
2018-10-02,Electronics,TVs,55-inch,SKU001,43
2018-10-03,Electronics,TVs,55-inch,SKU001,46
2018-10-04,Electronics,TVs,55-inch,SKU001,45
2018-10-05,Electronics,TVs,55-inch,SKU001,44
2018-10-06,Electronics,TVs,55-inch,SKU001,45
2018-10-07,Electronics,TVs,55-inch,SKU001,44
2018-10-08,Electronics,TVs,55-inch,SKU001,45
2018-10-09,Electronics,TVs,55-inch,SKU001,46
2018-10-10,Electronics,TVs,55-inch,SKU001,48
2018-10-11,Electronics,TVs,55-inch,SKU001,42
2018-10-12,Electronics,TVs,55-inch,SKU001,49
2018-10-13,Electronics,TVs,55-inch,SKU001,41
2018-10-14,Electronics,TVs,55-inch,SKU001,45
2018-10-15,Electronics,TVs,55-inch,SKU001,46
2018-10-16,Electronics,TVs,55-inch,SKU001,46
2018-10-17,Electronics,TVs,55-inch,SKU001,44
2018-10-18,Electronics,TVs,55-inch,SKU001,45
2018-10-19,Electronics,TVs,55-inch,SKU001,44
2018-10-20,Electronics,TVs,55-inch,SKU001,44
2018-10-21,Electronics,TVs,55-inch,SKU001,47
2018-10-22,Electronics,TVs,55-inch,SKU001,46
2018-10-23,Electronics,TVs,55-inch,SKU001,44
2018-10-24,Electronics,TVs,55-inch,SKU001,47
2018-10-25,Electronics,TVs,55-inch,SKU001,46
2018-10-26,Electronics,TVs,55-inch,SKU001,47
2018-10-27,Electronics,TVs,55-inch,SKU001,47
2018-10-28,Electronics,TVs,55-inch,SKU001,44
2018-10-29,Electronics,TVs,55-inch,SKU001,44
2018-10-30,Electronics,TVs,55-inch,SKU001,47
2018-10-31,Electronics,TVs,55-inch,SKU001,47
2018-11-01,Electronics,TVs,55-inch,SKU001,45
2018-11-02,Electronics,TVs,55-inch,SKU001,46
2018-11-03,Electronics,TVs,55-inch,SKU001,48
2018-11-04,Electronics,TVs,55-inch,SKU001,44
2018-11-05,Electronics,TVs,55-inch,SKU001,47
2018-11-06,Electronics,TVs,55-inch,SKU001,45
2018-11-07,Electronics,TVs,55-inch,SKU001,45
2018-11-08,Electronics,TVs,55-inch,SKU001,48
2018-11-09,Electronics,TVs,55-inch,SKU001,48
2018-11-10,Electronics,TVs,55-inch,SKU001,48
2018-11-11,Electronics,TVs,55-inch,SKU001,49
2018-11-12,Electronics,TVs,55-inch,SKU001,46
2018-11-13,Electronics,TVs,55-inch,SKU001,48
2018-11-14,Electronics,TVs,55-inch,SKU001,46
2018-11-15,Electronics,TVs,55-inch,SKU001,47
2018-11-16,Electronics,TVs,55-inch,SKU001,46
2018-11-17,Electronics,TVs,55-inch,SKU001,47
2018-11-18,Electronics,TVs,55-inch,SKU001,48
2018-11-19,Electronics,TVs,55-inch,SKU001,45
2018-11-20,Electronics,TVs,55-inch,SKU001,51
2018-11-21,Electronics,TVs,55-inch,SKU001,45
2018-11-22,Electronics,TVs,55-inch,SKU001,44
2018-11-23,Electronics,TVs,55-inch,SKU001,49
2018-11-24,Electronics,TVs,55-inch,SKU001,48
2018-11-25,Electronics,TVs,55-inch,SKU001,48
2018-11-26,Electronics,TVs,55-inch,SKU001,48
2018-11-27,Electronics,TVs,55-inch,SKU001,47
2018-11-28,Electronics,TVs,55-inch,SKU001,45
2018-11-29,Electronics,TVs,55-inch,SKU001,47
2018-11-30,Electronics,TVs,55-inch,SKU001,46
2018-12-01,Electronics,TVs,55-inch,SKU001,49
2018-12-02,Electronics,TVs,55-inch,SKU001,47
2018-12-03,Electronics,TVs,55-inch,SKU001,46
2018-12-04,Electronics,TVs,55-inch,SKU001,47
2018-12-05,Electronics,TVs,55-inch,SKU001,48
2018-12-06,Electronics,TVs,55-inch,SKU001,47
2018-12-07,Electronics,TVs,55-inch,SKU001,46
2018-12-08,Electronics,TVs,55-inch,SKU001,48
2018-12-09,Electronics,TVs,55-inch,SKU001,48
2018-12-10,Electronics,TVs,55-inch,SKU001,47
2018-12-11,Electronics,TVs,55-inch,SKU001,47
2018-12-12,Electronics,TVs,55-inch,SKU001,49
2018-12-13,Electronics,TVs,55-inch,SKU001,45
2018-12-14,Electronics,TVs,55-inch,SKU001,46
2018-12-15,Electronics,TVs,55-inch,SKU001,47
2018-12-16,Electronics,TVs,55-inch,SKU001,48
2018-12-17,Electronics,TVs,55-inch,SKU001,49
2018-12-18,Electronics,TVs,55-inch,SKU001,52
2018-12-19,Electronics,TVs,55-inch,SKU001,51
2018-12-20,Electronics,TVs,55-inch,SKU001,49
2018-12-21,Electronics,TVs,55-inch,SKU001,49
2018-12-22,Electronics,TVs,55-inch,SKU001,47
2018-12-23,Electronics,TVs,55-inch,SKU001,49
2018-12-24,Electronics,TVs,55-inch,SKU001,49
2018-12-25,Electronics,TVs,55-inch,SKU001,50
2018-12-26,Electronics,TVs,55-inch,SKU001,48
2018-12-27,Electronics,TVs,55-inch,SKU001,51
2018-12-28,Electronics,TVs,55-inch,SKU001,53
2018-12-29,Electronics,TVs,55-inch,SKU001,49
2018-12-30,Electronics,TVs,55-inch,SKU001,51
2018-12-31,Electronics,TVs,55-inch,SKU001,51
2019-01-01,Electronics,TVs,55-inch,SKU001,49
2019-01-02,Electronics,TVs,55-inch,SKU001,50
2019-01-03,Electronics,TVs,55-inch,SKU001,50
2019-01-04,Electronics,TVs,55-inch,SKU001,50
2019-01-05,Electronics,TVs,55-inch,SKU001,49
2019-01-06,Electronics,TVs,55-inch,SKU001,50
2019-01-07,Electronics,TVs,55-inch,SKU001,51
2019-01-08,Electronics,TVs,55-inch,SKU001,53
2019-01-09,Electronics,TVs,55-inch,SKU001,53
2019-01-10,Electronics,TVs,55-inch,SKU001,55
2019-01-11,Electronics,TVs,55-inch,SKU001,49
2019-01-12,Electronics,TVs,55-inch,SKU001,53
2019-01-13,Electronics,TVs,55-inch,SKU001,51
2019-01-14,Electronics,TVs,55-inch,SKU001,55
2019-01-15,Electronics,TVs,55-inch,SKU001,50
2019-01-16,Electronics,TVs,55-inch,SKU001,50
2019-01-17,Electronics,TVs,55-inch,SKU001,50
2019-01-18,Electronics,TVs,55-inch,SKU001,47
2019-01-19,Electronics,TVs,55-inch,SKU001,50
2019-01-20,Electronics,TVs,55-inch,SKU001,50
2019-01-21,Electronics,TVs,55-inch,SKU001,52
2019-01-22,Electronics,TVs,55-inch,SKU001,52
2019-01-23,Electronics,TVs,55-inch,SKU001,56
2019-01-24,Electronics,TVs,55-inch,SKU001,54
2019-01-25,Electronics,TVs,55-inch,SKU001,51
2019-01-26,Electronics,TVs,55-inch,SKU001,50
2019-01-27,Electronics,TVs,55-inch,SKU001,53
2019-01-28,Electronics,TVs,55-inch,SKU001,50
2019-01-29,Electronics,TVs,55-inch,SKU001,56
2019-01-30,Electronics,TVs,55-inch,SKU001,55
2019-01-31,Electronics,TVs,55-inch,SKU001,52
2019-02-01,Electronics,TVs,55-inch,SKU001,49
2019-02-02,Electronics,TVs,55-inch,SKU001,55
2019-02-03,Electronics,TVs,55-inch,SKU001,52
2019-02-04,Electronics,TVs,55-inch,SKU001,55
2019-02-05,Electronics,TVs,55-inch,SKU001,50
2019-02-06,Electronics,TVs,55-inch,SKU001,52
2019-02-07,Electronics,TVs,55-inch,SKU001,53
2019-02-08,Electronics,TVs,55-inch,SKU001,53
2019-02-09,Electronics,TVs,55-inch,SKU001,52
2019-02-10,Electronics,TVs,55-inch,SKU001,54
2019-02-11,Electronics,TVs,55-inch,SKU001,51
2019-02-12,Electronics,TVs,55-inch,SKU001,53
2019-02-13,Electronics,TVs,55-inch,SKU001,54
2019-02-14,Electronics,TVs,55-inch,SKU001,54
2019-02-15,Electronics,TVs,55-inch,SKU001,55
2019-02-16,Electronics,TVs,55-inch,SKU001,51
2019-02-17,Electronics,TVs,55-inch,SKU001,51
2019-02-18,Electronics,TVs,55-inch,SKU001,56
2019-02-19,Electronics,TVs,55-inch,SKU001,54
2019-02-20,Electronics,TVs,55-inch,SKU001,52
2019-02-21,Electronics,TVs,55-inch,SKU001,57
2019-02-22,Electronics,TVs,55-inch,SKU001,54
2019-02-23,Electronics,TVs,55-inch,SKU001,56
2019-02-24,Electronics,TVs,55-inch,SKU001,54
2019-02-25,Electronics,TVs,55-inch,SKU001,58
2019-02-26,Electronics,TVs,55-inch,SKU001,58
2019-02-27,Electronics,TVs,55-inch,SKU001,54
2019-02-28,Electronics,TVs,55-inch,SKU001,56
2019-03-01,Electronics,TVs,55-inch,SKU001,56
2019-03-02,Electronics,TVs,55-inch,SKU001,57
2019-03-03,Electronics,TVs,55-inch,SKU001,52
2019-03-04,Electronics,TVs,55-inch,SKU001,56
2019-03-05,Electronics,TVs,55-inch,SKU001,57
2019-03-06,Electronics,TVs,55-inch,SKU001,51
2019-03-07,Electronics,TVs,55-inch,SKU001,52
2019-03-08,Electronics,TVs,55-inch,SKU001,50
2019-03-09,Electronics,TVs,55-inch,SKU001,54
2019-03-10,Electronics,TVs,55-inch,SKU001,56
2019-03-11,Electronics,TVs,55-inch,SKU001,58
2019-03-12,Electronics,TVs,55-inch,SKU001,55
2019-03-13,Electronics,TVs,55-inch,SKU001,58
2019-03-14,Electronics,TVs,55-inch,SKU001,52
2019-03-15,Electronics,TVs,55-inch,SKU001,51
2019-03-16,Electronics,TVs,55-inch,SKU001,55
2019-03-17,Electronics,TVs,55-inch,SKU001,56
2019-03-18,Electronics,TVs,55-inch,SKU001,55
2019-03-19,Electronics,TVs,55-inch,SKU001,51
2019-03-20,Electronics,TVs,55-inch,SKU001,55
2019-03-21,Electronics,TVs,55-inch,SKU001,52
2019-03-22,Electronics,TVs,55-inch,SKU001,56
2019-03-23,Electronics,TVs,55-inch,SKU001,56
2019-03-24,Electronics,TVs,55-inch,SKU001,53
2019-03-25,Electronics,TVs,55-inch,SKU001,54
2019-03-26,Electronics,TVs,55-inch,SKU001,53
2019-03-27,Electronics,TVs,55-inch,SKU001,55
2019-03-28,Electronics,TVs,55-inch,SKU001,57
2019-03-29,Electronics,TVs,55-inch,SKU001,53
2019-03-30,Electronics,TVs,55-inch,SKU001,56
2019-03-31,Electronics,TVs,55-inch,SKU001,54
2019-04-01,Electronics,TVs,55-inch,SKU001,53
2019-04-02,Electronics,TVs,55-inch,SKU001,55
2019-04-03,Electronics,TVs,55-inch,SKU001,53
2019-04-04,Electronics,TVs,55-inch,SKU001,54
2019-04-05,Electronics,TVs,55-inch,SKU001,53
2019-04-06,Electronics,TVs,55-inch,SKU001,59
2019-04-07,Electronics,TVs,55-inch,SKU001,55
2019-04-08,Electronics,TVs,55-inch,SKU001,54
2019-04-09,Electronics,TVs,55-inch,SKU001,55
2019-04-10,Electronics,TVs,55-inch,SKU001,55
2019-04-11,Electronics,TVs,55-inch,SKU001,54
2019-04-12,Electronics,TVs,55-inch,SKU001,56
2019-04-13,Electronics,TVs,55-inch,SKU001,56
2019-04-14,Electronics,TVs,55-inch,SKU001,54
2019-04-15,Electronics,TVs,55-inch,SKU001,54
2019-04-16,Electronics,TVs,55-inch,SKU001,54
2019-04-17,Electronics,TVs,55-inch,SKU001,50
2019-04-18,Electronics,TVs,55-inch,SKU001,52
2019-04-19,Electronics,TVs,55-inch,SKU001,57
2019-04-20,Electronics,TVs,55-inch,SKU001,58
2019-04-21,Electronics,TVs,55-inch,SKU001,54
2019-04-22,Electronics,TVs,55-inch,SKU001,56
2019-04-23,Electronics,TVs,55-inch,SKU001,55
2019-04-24,Electronics,TVs,55-inch,SKU001,61
2019-04-25,Electronics,TVs,55-inch,SKU001,57
2019-04-26,Electronics,TVs,55-inch,SKU001,54
2019-04-27,Electronics,TVs,55-inch,SKU001,53
2019-04-28,Electronics,TVs,55-inch,SKU001,51
2019-04-29,Electronics,TVs,55-inch,SKU001,55
2019-04-30,Electronics,TVs,55-inch,SKU001,53
2019-05-01,Electronics,TVs,55-inch,SKU001,51
2019-05-02,Electronics,TVs,55-inch,SKU001,53
2019-05-03,Electronics,TVs,55-inch,SKU001,52
2019-05-04,Electronics,TVs,55-inch,SKU001,58
2019-05-05,Electronics,TVs,55-inch,SKU001,56
2019-05-06,Electronics,TVs,55-inch,SKU001,54
2019-05-07,Electronics,TVs,55-inch,SKU001,57
2019-05-08,Electronics,TVs,55-inch,SKU001,54
2019-05-09,Electronics,TVs,55-inch,SKU001,52
2019-05-10,Electronics,TVs,55-inch,SKU001,57
2019-05-11,Electronics,TVs,55-inch,SKU001,55
2019-05-12,Electronics,TVs,55-inch,SKU001,52
2019-05-13,Electronics,TVs,55-inch,SKU001,53
2019-05-14,Electronics,TVs,55-inch,SKU001,52
